                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0953,                 3.3935,                 1.2784,                0.00737,                0.84659,                0.14557,                0.10734,                 0.7008,                 3.3266,                 1.0629,                7.5e-05,                7.5e-05,                7.5e-05
                      1,                 1.0285,                 3.1038,                 1.2698,                0.00861,                0.95455,                0.33766,                0.24328,                0.87314,                 3.2786,                 1.1683,             0.00016234,             0.00016234,             0.00016234
                      2,                   1.01,                 2.4895,                 1.2268,                0.00914,                0.87338,                0.39305,                0.30307,                0.90295,                 3.0783,                 1.1171,             0.00024951,             0.00024951,             0.00024951
                      3,                0.95639,                 2.1951,                 1.1961,                 0.9212,                0.13636,                0.40868,                0.31568,                 1.0104,                 2.8984,                 1.2346,              0.0003365,              0.0003365,              0.0003365
                      4,                0.93906,                 1.9484,                 1.1681,                0.78847,                0.20656,                0.46912,                0.38535,                0.94828,                 2.7234,                 1.2036,             0.00042332,             0.00042332,             0.00042332
                      5,                0.95505,                 1.7766,                 1.1886,                0.96697,                0.30402,                0.55754,                0.40608,                 1.2562,                 2.6845,                 1.4147,             0.00050996,             0.00050996,             0.00050996
                      6,                0.98719,                 1.7649,                 1.1866,                0.93288,                0.24483,                0.52968,                0.40116,                 1.2234,                 2.7143,                 1.4141,             0.00059644,             0.00059644,             0.00059644
                      7,                   0.92,                 1.5188,                 1.1268,                0.75102,                0.44589,                 0.5784,                0.42726,                 1.0845,                 2.5588,                 1.3057,             0.00068274,             0.00068274,             0.00068274
                      8,                0.97108,                 1.5827,                 1.1649,                0.72435,                0.55079,                0.58269,                0.43036,                 1.1253,                 2.3173,                 1.3151,             0.00076886,             0.00076886,             0.00076886
                      9,                0.98146,                 1.5504,                 1.1803,                0.65259,                0.51446,                0.55159,                 0.4123,                 1.1569,                 2.4053,                 1.3517,             0.00085482,             0.00085482,             0.00085482
                     10,                0.91141,                 1.3557,                 1.1458,                0.85657,                 0.5667,                0.61511,                 0.4773,                 1.1919,                 2.1153,                 1.3699,              0.0009406,              0.0009406,              0.0009406
                     11,                 1.0195,                 1.5637,                 1.2047,                0.88083,                 0.4949,                0.55882,                0.40701,                 1.2044,                 2.1421,                 1.4889,              0.0010262,              0.0010262,              0.0010262
                     12,                0.97563,                 1.4999,                 1.1694,                0.62126,                0.46529,                0.61716,                0.43334,                 1.2773,                 2.2509,                 1.6267,              0.0011116,              0.0011116,              0.0011116
                     13,                0.98171,                 1.4671,                 1.1442,                 0.7644,                0.44805,                 0.4972,                0.29502,                 1.4443,                 2.2682,                 1.7096,              0.0011969,              0.0011969,              0.0011969
                     14,                0.93967,                 1.3712,                 1.1435,                0.81441,                0.44805,                0.61705,                 0.3405,                 1.4957,                 2.5788,                 1.7711,              0.0012327,              0.0012327,              0.0012327
