                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9085,                 4.6653,                 4.3975,                0.00172,                0.15909,                0.00407,                0.00123,                 3.9704,                 4.3016,                 4.1592,                7.5e-05,                7.5e-05,                7.5e-05
                      1,                 3.7526,                 4.5204,                 4.2841,                0.00193,                0.18182,                 0.0016,                0.00046,                 3.9701,                 4.2994,                 4.1584,             0.00016089,             0.00016089,             0.00016089
                      2,                 3.6254,                 4.4264,                 4.2309,                 0.0019,                0.18182,                0.00143,                0.00033,                 3.9691,                  4.297,                 4.1575,             0.00024505,             0.00024505,             0.00024505
                      3,                 3.6634,                 4.3346,                 4.1566,                0.00191,                0.18182,                0.00151,                0.00037,                 3.9693,                 4.2933,                 4.1563,             0.00032748,             0.00032748,             0.00032748
                      4,                 3.5018,                 4.2862,                 4.1011,                0.00188,                0.18182,                0.00157,                0.00039,                 3.9649,                 4.2939,                 4.1542,             0.00040817,             0.00040817,             0.00040817
                      5,                 3.3148,                 4.1353,                 3.9843,                0.00194,                0.18182,                0.00277,                0.00091,                 3.9624,                 4.2946,                 4.1512,             0.00048713,             0.00048713,             0.00048713
                      6,                 3.2092,                 3.9316,                 3.8898,                0.00184,                0.18182,                0.00342,                0.00105,                 3.9651,                 4.3165,                 4.1595,             0.00056436,             0.00056436,             0.00056436
                      7,                 3.1246,                 3.7746,                 3.7723,                0.00184,                0.18182,                0.00351,                0.00122,                 3.9708,                 4.3064,                 4.1746,             0.00063986,             0.00063986,             0.00063986
                      8,                 3.1594,                 3.7338,                 3.7033,                 0.0021,                0.24432,                0.00438,                0.00143,                 3.9806,                 4.3782,                 4.2049,             0.00071362,             0.00071362,             0.00071362
                      9,                 3.0199,                 3.6928,                 3.6359,                0.00225,                0.24432,                0.00389,                0.00125,                 3.9693,                 4.3389,                 4.2093,             0.00078565,             0.00078565,             0.00078565
                     10,                 2.9334,                 3.4539,                 3.5061,                0.00198,                0.18182,                0.00329,                0.00113,                 3.9672,                 4.2544,                 4.2321,             0.00085595,             0.00085595,             0.00085595
                     11,                 2.9216,                 3.6594,                 3.4097,                0.00195,                0.18182,                0.00338,                0.00106,                 4.0064,                 4.2848,                 4.2943,             0.00092452,             0.00092452,             0.00092452
                     12,                 2.9535,                 3.5213,                 3.4628,                 0.0019,                0.18182,                0.00377,                0.00093,                 4.0247,                 4.3204,                  4.325,             0.00099135,             0.00099135,             0.00099135
                     13,                 2.9108,                 3.5396,                 3.4059,                0.00199,                0.18182,                0.00362,                0.00081,                  4.039,                 4.3661,                 4.3495,              0.0010565,              0.0010565,              0.0010565
                     14,                 2.7819,                 3.3718,                 3.3805,                0.00204,                0.18182,                0.00422,                 0.0009,                 4.0205,                 4.3412,                 4.3098,              0.0010768,              0.0010768,              0.0010768
                     15,                 2.7984,                 3.3971,                 3.3591,                0.00207,                0.18182,                 0.0046,                0.00122,                 3.9513,                 4.2899,                 4.2559,              0.0010768,              0.0010768,              0.0010768
                     16,                 2.7871,                 3.2837,                 3.2982,                 0.0051,                0.15909,                0.00555,                0.00141,                 3.8391,                 4.2278,                 4.1775,              0.0010644,              0.0010644,              0.0010644
                     17,                 2.7481,                 3.3955,                 3.2513,                0.00544,                0.28896,                 0.0061,                0.00129,                   3.52,                 4.0775,                 3.9442,               0.001052,               0.001052,               0.001052
